ms,degC
2021,24.80
4044,25.30
6069,25.80
8091,26.20
10114,26.20
12136,26.70
14159,27.10
16184,27.10
18206,27.60
20229,27.60
22251,28.00
24274,28.20
26299,28.50
28321,28.90
30344,28.90
32366,29.00
-31146,29.30
-29122,29.30
-27100,29.80
-25077,29.80
-23054,30.20
-21031,30.20
-19009,30.20
-16986,30.80
-14961,30.80
-12939,30.80
-10916,31.20
-8892,31.30
-6869,31.30
-4847,31.30
-2825,31.80
-800,31.80
1222,31.80
3245,31.80
5268,32.30
7292,32.30
9316,32.30
11339,32.30
13362,32.30
15384,32.80
17406,32.80
19429,32.80
21452,32.80
23477,32.80
25499,33.20
27522,33.30
29544,33.30
31566,33.30
-31947,33.30
-29924,33.30
-27899,33.30
-25876,33.80
-23854,33.80
-21831,33.80
